kredit_id,musteri_id,kredit_novu,kredit_meblegi,valyuta,verilme_tarixi,bitme_tarixi,faiz_derecesi,muddet_ay
1,578,Avto,8457.93,AZN,2022-11-09,2029-10-03,16.35,84
2,1519,İstehlak,29640.52,EUR,2024-01-16,2027-03-01,17.68,38
3,1465,İstehlak,23350.62,USD,2024-04-16,2026-05-06,21.24,25
4,715,İstehlak,3147.86,AZN,2023-09-08,2027-10-17,17.07,50
5,572,Avto,25820.88,EUR,2023-04-15,2025-11-30,14.32,32
6,210,İstehlak,11477.64,AZN,2024-06-06,2027-10-19,16.76,41
7,661,Avto,51495.67,AZN,2024-08-11,2026-09-30,12.02,26
8,485,Avto,73701.22,EUR,2023-03-17,2029-02-13,17.83,72
9,1751,Mikro Biznes,20602.86,EUR,2023-02-10,2030-06-03,19.18,89
10,2305,İstehlak,22995.61,AZN,2024-05-03,2025-08-26,16.58,16
11,367,İpoteka,70660.56,AZN,2025-06-05,2044-09-23,7.38,235
12,1539,Mikro Biznes,30716.81,AZN,2025-08-29,2031-04-30,17.03,69
13,1660,İstehlak,27941.26,EUR,2024-07-29,2026-05-20,15.95,22
14,1284,İpoteka,132573.76,EUR,2024-11-30,2039-09-13,8.09,180
15,2293,Avto,61272.75,EUR,2025-01-05,2030-06-08,14.29,66
16,619,Avto,33462.82,EUR,2025-07-01,2028-06-15,12.97,36
17,2031,İpoteka,205781.1,AZN,2025-08-25,2035-03-06,8.16,116
18,1523,Mikro Biznes,2305.74,USD,2023-03-29,2031-01-16,18.5,95
19,2296,İstehlak,12038.89,EUR,2023-12-13,2027-12-22,16.62,49
20,2208,İpoteka,73320.86,AZN,2023-03-06,2033-05-12,7.18,124
21,1549,Mikro Biznes,42511.31,EUR,2023-09-20,2030-11-12,13.11,87
22,2494,Mikro Biznes,48869.03,AZN,2023-08-26,2029-08-24,13.24,73
23,581,Mikro Biznes,20702.28,AZN,2024-05-14,2031-12-04,12.76,92
24,6,İstehlak,739.68,USD,2025-08-23,2029-05-04,19.42,45
25,169,İpoteka,196391.63,EUR,2025-08-14,2030-12-16,7.39,65
26,897,Avto,18541.71,EUR,2024-01-26,2029-10-26,13.91,70
27,438,Avto,54500.59,EUR,2024-03-22,2026-07-10,13.78,28
28,77,İstehlak,21281.18,EUR,2023-12-09,2026-05-27,16.06,30
29,228,Mikro Biznes,47372.45,EUR,2024-05-14,2031-03-09,19.37,83
30,134,İpoteka,270104.28,USD,2023-08-22,2033-07-30,8.68,121
31,3,Avto,29917.23,USD,2023-06-08,2027-01-18,17.2,44
32,1951,Mikro Biznes,39009.66,USD,2025-02-05,2028-04-20,19.85,39
33,2222,Mikro Biznes,18410.46,AZN,2025-07-12,2031-10-09,17.43,76
34,1798,İstehlak,13376.22,AZN,2023-03-05,2025-02-22,16.85,24
35,2304,İpoteka,207061.14,AZN,2023-12-16,2051-04-23,8.16,333
36,2092,İpoteka,29095.83,USD,2024-05-26,2052-08-27,7.2,344
37,2055,Mikro Biznes,3211.93,EUR,2023-07-27,2026-09-09,16.33,38
38,1815,Avto,55601.88,AZN,2022-12-11,2028-05-13,12.73,66
39,885,Avto,50527.43,USD,2025-04-27,2029-06-05,15.92,50
40,633,İstehlak,21716.5,AZN,2024-11-25,2027-08-12,18.28,33
41,1931,İpoteka,219376.91,AZN,2024-08-18,2029-11-20,9.18,64
42,161,İpoteka,199675.28,AZN,2023-01-07,2048-02-25,7.98,306
43,751,İstehlak,27440.79,AZN,2024-01-05,2027-10-16,17.71,46
44,809,İpoteka,182545.02,AZN,2022-10-26,2047-12-14,9.46,306
45,1005,Mikro Biznes,29624.05,EUR,2024-08-02,2030-11-29,17.1,77
46,1557,Mikro Biznes,5931.5,USD,2025-06-06,2027-05-27,16.43,24
47,98,İpoteka,289894.39,USD,2023-05-15,2031-10-30,8.98,103
48,2225,İpoteka,123174.53,AZN,2023-04-03,2034-10-02,9.07,140
49,1611,İpoteka,249919.51,EUR,2025-01-14,2034-07-26,8.96,116
50,505,Avto,60462.36,EUR,2023-02-20,2028-05-24,10.39,64
51,1873,İstehlak,20009.82,USD,2025-10-19,2029-08-29,21.88,47
52,1517,İpoteka,131631.34,EUR,2025-02-08,2032-08-30,9.34,92
53,2410,İstehlak,23335.37,AZN,2024-02-14,2028-09-20,16.15,56
54,1446,Mikro Biznes,23931.48,EUR,2024-02-06,2029-01-10,15.3,60
55,1843,İstehlak,12922.32,EUR,2023-08-10,2027-01-21,18.26,42
56,51,İstehlak,1579.72,USD,2024-05-26,2028-09-02,19.28,52
57,2416,Mikro Biznes,14838.27,AZN,2022-11-01,2028-06-02,15.69,68
58,1443,Avto,17735.32,AZN,2024-08-04,2029-03-11,17.8,56
59,673,Mikro Biznes,9056.05,EUR,2024-10-22,2031-09-16,18.62,84
60,781,Avto,42490.62,EUR,2024-08-24,2027-09-08,13.06,37
61,113,İpoteka,250836.45,AZN,2023-06-18,2038-09-27,9.35,186
62,313,Mikro Biznes,29179.56,USD,2023-11-24,2029-08-24,18.82,70
63,491,İpoteka,267373.67,AZN,2024-10-13,2033-06-28,8.17,106
64,539,İstehlak,1853.9,AZN,2023-10-25,2028-01-02,18.32,51
65,459,İpoteka,163753.24,USD,2024-08-09,2043-06-01,9.06,229
66,969,Avto,62028.04,USD,2023-10-11,2026-09-25,15.48,36
67,903,İpoteka,98792.24,EUR,2024-03-28,2040-12-29,9.5,204
68,227,Avto,36491.37,AZN,2025-01-29,2028-08-11,10.17,43
