risk_id,kredit_id,risk_skoru,risk_kateqoriyasi,ayliq_gelir_melumati,ish_tecrubesi_il,teminat_varmi,kredit_teminat_deyeri
1,1,817,Aşağı,3194.58,5,Bəli,10500.57
2,2,551,Orta,4307.47,20,Bəli,42029.23
3,3,632,Orta,1501.59,19,Xeyr,
4,4,766,Aşağı,2180.71,7,Bəli,3389.18
5,5,692,Orta,3304.33,5,Xeyr,
6,6,558,Orta,4809.83,26,Bəli,15212.81
7,7,527,Orta,2575.16,18,Bəli,56896.97
8,8,715,Aşağı,421.77,3,Bəli,108496.81
9,9,780,Aşağı,3311.33,20,Xeyr,
10,10,760,Aşağı,4645.23,3,Bəli,19472.56
11,11,714,Aşağı,4491.52,21,Xeyr,
12,12,355,Yüksək,1852.72,10,Bəli,37666.03
13,13,539,Orta,3375.23,11,Bəli,35917.18
14,14,317,Yüksək,3773.74,3,Bəli,193920.84
15,15,415,Yüksək,4481.74,27,Xeyr,
16,16,593,Orta,3392.11,6,Bəli,32539.84
17,17,365,Yüksək,1083.14,13,Xeyr,
18,18,446,Yüksək,4607.4,28,Xeyr,
19,19,465,Yüksək,3774.93,17,Bəli,11571.0
20,20,528,Orta,2998.16,0,Xeyr,
21,21,648,Orta,3275.86,19,Bəli,61183.16
22,22,545,Orta,2895.5,15,Bəli,44389.88
23,23,709,Aşağı,4206.3,18,Bəli,25112.45
24,24,539,Orta,3670.16,7,Bəli,1043.68
25,25,715,Aşağı,4186.32,5,Bəli,204535.67
26,26,309,Yüksək,3027.07,26,Bəli,25037.57
27,27,799,Aşağı,951.7,6,Xeyr,
28,28,619,Orta,1842.01,5,Bəli,28277.55
29,29,567,Orta,4507.96,26,Bəli,39191.63
30,30,750,Aşağı,2240.14,23,Bəli,312794.94
31,31,683,Orta,2459.64,6,Bəli,41944.68
32,32,778,Aşağı,4655.92,17,Bəli,49533.35
33,33,445,Yüksək,4934.91,24,Bəli,17257.33
34,34,504,Orta,535.87,29,Bəli,17926.82
35,35,453,Yüksək,673.12,16,Xeyr,
36,36,730,Aşağı,4157.29,24,Bəli,24062.95
37,37,429,Yüksək,1505.0,10,Bəli,4063.45
38,38,473,Yüksək,637.54,26,Bəli,49838.63
39,39,844,Aşağı,4244.71,2,Xeyr,
40,40,563,Orta,1994.88,20,Bəli,28003.58
41,41,541,Orta,1720.54,9,Xeyr,
42,42,581,Orta,4146.66,12,Xeyr,
43,43,541,Orta,2245.56,23,Bəli,28364.43
44,44,773,Aşağı,2140.31,15,Bəli,266766.75
