odenis_id,kredit_id,odenis_tarixi,odenis_meblegi,odenis_novu,status
1,579,2025-09-02,683.34,Cərimə,Ödənilib
2,2374,2025-09-21,500.11,Cərimə,Ödənilib
3,98,2023-11-16,1228.55,Faiz,Gecikib
4,1858,2025-04-09,215.07,Əsas borc,Ödənilib
5,1261,2025-07-01,906.59,Cərimə,Ödənilib
6,236,2023-10-03,751.87,Faiz,Qismən Ödənilib
7,1811,2025-08-17,444.53,Faiz,Ödənilib
8,1129,2025-04-09,559.43,Cərimə,Ödənilib
9,2382,2024-06-18,1698.35,Əsas borc,Ödənilib
10,2024,2024-02-18,439.86,Faiz,Ödənilib
11,2062,2023-06-06,608.32,Cərimə,Qismən Ödənilib
12,2469,2024-09-08,335.14,Cərimə,Ödənilib
13,110,2024-02-17,348.62,Faiz,Ödənilib
14,2773,2025-05-30,717.31,Faiz,Gecikib
15,754,2025-03-17,173.65,Cərimə,Ödənilib
16,782,2025-10-21,1250.08,Cərimə,Qismən Ödənilib
17,927,2025-08-07,1515.67,Əsas borc,Qismən Ödənilib
18,2321,2025-08-09,523.17,Cərimə,Ödənilib
19,557,2023-12-05,618.81,Cərimə,Qismən Ödənilib
20,1267,2025-07-14,289.61,Cərimə,Ödənilib
21,667,2025-06-01,640.92,Əsas borc,Ödənilib
22,540,2025-04-22,1963.23,Cərimə,Ödənilib
23,1527,2025-03-14,213.55,Əsas borc,Ödənilib
24,2643,2025-01-15,615.78,Faiz,Ödənilib
25,1892,2024-05-20,527.67,Faiz,Qismən Ödənilib
26,1889,2024-03-04,655.02,Faiz,Qismən Ödənilib
27,2916,2024-10-17,443.44,Faiz,Gecikib
28,1163,2025-09-18,366.56,Faiz,Gecikib
29,1983,2023-11-03,441.53,Cərimə,Qismən Ödənilib
30,981,2025-09-28,1044.33,Cərimə,Qismən Ödənilib
31,1154,2025-05-23,1926.7,Cərimə,Gecikib
32,1080,2025-07-23,854.64,Faiz,Qismən Ödənilib
33,101,2024-12-19,240.37,Faiz,Qismən Ödənilib
34,1221,2025-10-11,655.9,Cərimə,Gecikib
35,83,2024-09-24,657.45,Əsas borc,Qismən Ödənilib
36,1534,2024-04-24,473.47,Faiz,Ödənilib
37,2009,2025-06-15,114.96,Cərimə,Qismən Ödənilib
38,658,2024-10-27,306.5,Əsas borc,Qismən Ödənilib
39,2344,2025-07-18,221.85,Əsas borc,Qismən Ödənilib
40,428,2025-07-28,1279.7,Faiz,Qismən Ödənilib
41,2264,2024-10-13,538.62,Faiz,Gecikib
42,63,2025-06-21,1818.88,Cərimə,Ödənilib
43,1347,2025-01-04,437.17,Cərimə,Qismən Ödənilib
44,416,2023-11-15,234.5,Əsas borc,Gecikib
45,964,2025-05-14,1388.16,Cərimə,Gecikib
46,2473,2024-01-13,1255.32,Əsas borc,Gecikib
47,2737,2024-09-30,176.64,Cərimə,Gecikib
48,1254,2023-09-02,568.46,Faiz,Gecikib
49,343,2025-04-12,950.27,Faiz,Ödənilib
50,1862,2025-10-22,522.6,Faiz,Ödənilib
51,597,2024-11-18,108.28,Faiz,Qismən Ödənilib
52,2548,2025-04-15,244.6,Əsas borc,Qismən Ödənilib
53,1610,2023-11-19,478.01,Cərimə,Gecikib
54,1820,2025-02-21,505.08,Faiz,Gecikib
55,2739,2025-02-02,272.63,Cərimə,Ödənilib
56,84,2025-05-12,542.08,Əsas borc,Ödənilib
57,2939,2025-05-29,483.68,Cərimə,Ödənilib
58,2503,2025-06-15,293.95,Cərimə,Ödənilib
59,163,2025-09-09,1932.34,Cərimə,Qismən Ödənilib
60,1501,2025-02-24,667.0,Əsas borc,Qismən Ödənilib
61,703,2024-11-27,51.41,Cərimə,Gecikib
62,14,2025-07-03,690.94,Cərimə,Gecikib
63,455,2025-10-11,195.94,Faiz,Qismən Ödənilib
64,1925,2024-03-22,538.48,Faiz,Gecikib
65,2443,2025-08-31,314.92,Faiz,Qismən Ödənilib
66,1776,2025-01-09,440.61,Cərimə,Gecikib
67,2836,2025-05-29,1017.24,Əsas borc,Gecikib
68,47,2024-03-26,1185.36,Əsas borc,Gecikib
69,263,2025-03-27,798.8,Faiz,Gecikib
70,2105,2025-08-21,253.32,Faiz,Qismən Ödənilib
71,2706,2025-07-26,1297.48,Cərimə,Ödənilib
72,2508,2023-05-18,634.77,Cərimə,Qismən Ödənilib
73,1072,2025-10-19,248.91,Faiz,Qismən Ödənilib
74,361,2025-08-29,263.41,Əsas borc,Qismən Ödənilib
75,2473,2025-03-12,1439.09,Əsas borc,Gecikib
76,1569,2023-02-07,566.39,Cərimə,Gecikib
77,448,2025-07-22,82.38,Əsas borc,Ödənilib
78,290,2024-12-28,67.46,Əsas borc,Gecikib
79,2160,2023-11-16,580.87,Faiz,Qismən Ödənilib
80,556,2024-11-03,1789.0,Cərimə,Ödənilib
81,2636,2024-09-30,459.7,Əsas borc,Qismən Ödənilib
82,784,2025-02-08,883.3,Əsas borc,Gecikib
83,1750,2025-01-27,299.51,Faiz,Gecikib
84,2278,2024-04-01,286.07,Faiz,Qismən Ödənilib
85,1356,2025-04-10,565.87,Əsas borc,Gecikib
86,2356,2025-04-13,289.77,Faiz,Gecikib
87,2467,2025-07-10,1491.66,Əsas borc,Gecikib
88,1869,2025-10-12,349.37,Əsas borc,Qismən Ödənilib
89,2213,2025-07-03,278.0,Əsas borc,Qismən Ödənilib
90,2640,2023-04-19,1787.02,Faiz,Ödənilib
91,2370,2025-08-08,822.89,Faiz,Qismən Ödənilib
92,1839,2024-05-15,479.61,Cərimə,Qismən Ödənilib
93,2555,2024-01-25,217.42,Əsas borc,Qismən Ödənilib
94,776,2025-10-18,630.81,Faiz,Gecikib
95,1249,2025-09-14,594.54,Faiz,Gecikib
96,1978,2024-03-25,1480.13,Cərimə,Gecikib
97,2327,2023-09-13,154.16,Faiz,Ödənilib
98,1895,2023-01-04,261.3,Faiz,Ödənilib
99,2321,2025-08-22,1399.78,Faiz,Qismən Ödənilib
100,2482,2024-12-03,142.54,Cərimə,Gecikib
101,90,2025-10-08,241.84,Cərimə,Gecikib
102,1278,2024-09-14,544.27,Cərimə,Gecikib
103,2081,2025-02-20,1752.58,Cərimə,Gecikib
104,1885,2025-10-17,194.29,Cərimə,Ödənilib
105,1589,2025-04-14,501.71,Əsas borc,Qismən Ödənilib
106,2748,2024-04-22,299.03,Faiz,Ödənilib
